university_name,teaching,research,income,1,2,3,Cluster
Verona University,23.6,13.1,36.6,71.31790022860919,6.584886265906627,45.719496383051776,2
Victoria University of Wellington,26.0,28.7,45.6,55.7242090238265,13.564620608890284,32.18912712509368,2
Washington State University,29.0,28.2,57.1,53.0403529173418,23.4130917199558,20.569734542514574,3
Wayne State University,31.9,14.2,41.7,64.90031931535255,10.399825390869188,39.601125796304075,2
American University,42.2,16.5,35.9,60.44787958257844,17.26914893423255,44.67926167243545,2
University of Aveiro,24.8,26.5,40.1,59.4266268381035,8.319023649765226,38.08126176570353,2
University of Bari Aldo Moro,28.7,21.6,45.4,59.60598135673787,10.516807904609053,33.52475339597037,2
Bar-Ilan University,22.6,21.3,28.9,68.3758967360841,7.535965092141046,50.29776205795246,2
Bournemouth University,32.0,12.6,28.8,70.29614722518298,11.881386748462928,51.93023505129595,2
University of Brescia,15.6,14.8,35.8,74.9061573643325,10.643628997951598,48.11845854995345,2
Brno University of Technology,18.0,14.7,33.7,74.14002139557236,8.837338267133704,49.13119829412041,2
Brunel University London,24.8,23.3,34.7,63.45851980933173,4.020471200417601,43.86711897649152,2
Ca’ Foscari University of Venice,23.9,27.8,32.3,61.72852244610509,9.133494793063921,45.63111651016583,2
University of Cagliari,19.4,13.2,33.6,74.47566353704352,8.764141234563134,49.36913094496018,2
University of Canterbury,23.5,22.5,52.1,61.11120025520946,16.74086051837269,28.458464494271976,2
Charles University in Prague,31.5,21.5,28.2,63.801086794429956,10.04341221121229,49.75059703235168,2
"China Medical University, Taiwan",24.0,29.4,60.4,55.54187285288287,26.634936262342134,19.16012007717436,3
City University London,23.5,21.2,28.9,67.93037808309202,7.251810899558809,50.13093649598348,2
Claude Bernard University Lyon 1,21.3,13.2,34.5,73.12195046636684,7.444785403154889,48.06464144178433,2
University of Coimbra,28.3,26.5,34.8,59.05299132630048,7.780396730808286,42.60752995397814,2
Complutense University of Madrid,33.2,27.6,30.9,57.206386040906544,12.422169689088106,45.99386651421352,2
Concordia University,19.3,23.4,30.9,68.12673078340632,8.582786925493934,48.813932223797686,2
Curtin University,20.1,20.2,37.8,67.59847258205981,5.541722151090095,42.99157602111307,2
Dublin City University,26.1,25.2,51.7,57.42118643892687,17.005480533068358,27.111555167381322,2
Ewha Womans University,23.9,18.3,57.6,63.99789436676258,21.937961298587993,25.83314798287411,2
Federico Santa María Technical University,17.2,10.1,35.1,77.663082212857,12.296608550156417,50.09541689580324,2
University of Ferrara,17.7,17.2,35.9,71.82161218849939,7.810236037661412,46.421693299352455,2
Florida International University,25.7,18.1,32.7,67.53833361488634,3.349129335493938,46.98010983267552,2
University of Genoa,27.2,14.2,42.3,67.08822101562949,8.638695035782359,39.56322152792962,2
Georgia State University,26.3,19.5,28.7,67.70907647868317,7.117451812082689,50.25678706220862,2
University of Graz,24.9,16.3,29.3,70.60024233895419,7.156880662002094,50.86102249049996,2
Heriot-Watt University,23.4,22.4,45.6,62.0883154636542,10.460609906384912,34.27299089772356,2
Hokkaido University,40.3,32.8,53.7,42.91077182714135,27.022179094816963,23.83846210320232,3
University of Hull,22.4,16.1,31.8,71.18358076218341,5.855084046041327,49.12515891484498,2
University of Idaho,28.3,19.4,32.4,65.2758945636913,4.560832952476581,46.50089980692006,2
Indian Institute of Technology Delhi,35.8,25.8,62.8,51.46894608489808,29.7678884055685,15.637418841944697,3
Indian Institute of Technology Kharagpur,33.2,30.5,31.7,54.741382126452,14.24805282086674,44.95477869256685,2
Indian Institute of Technology Madras,34.6,20.7,88.9,64.66423473964291,54.01359516064138,17.321405550954363,3
